ID,var_resp,prob
1377484057720537344,0,7.732807e-06
-1525719144337569280,0,1.2455688e-05
67615714461006448,0,7.732807e-06
8796173792749960192,1,0.9999994
28103788459531572,0,1.6775941e-06
61355404474341664,0,1.0102641e-05
-3477991795859422,0,6.2666354e-06
9172134556666576,0,9.907419e-06
14804314947071036,0,9.793788e-06
1222640215433999360,0,6.2666354e-06
-1973190484827487232,0,3.0137133e-05
-6424038129495478272,0,7.732807e-06
24166555324417336,0,7.732807e-06
-112662460942712224,0,9.7435095e-06
2892691426478230,0,7.732807e-06
8796598812585962496,0,9.332843e-06
-3018365942586868736,0,1.7276625e-05
154744365808068832,0,9.060761e-06
308769083120323136,1,0.9999988
-4245269798130761728,0,9.7435095e-06
-4403456307545819648,1,0.9565413
-33145626161179712,0,2.2402022e-05
-18905470115103068,0,7.732807e-06
2745352906343634944,0,7.732807e-06
-8209998305019151360,0,8.477744e-06
5898643794161032,0,7.732807e-06
-65158937936758328,0,1.25144e-05
-3302653663142631936,0,1.3639746e-05
7194028431596214272,0,8.8844945e-06
21272656056574508,0,7.732807e-06
87951325474255120,1,0.9999988
281487234272602880,0,1.0855424e-05
490468326114433280,0,7.732807e-06
-338643296568587072,1,0.9999956
678547902095195904,0,1.6829747e-05
63612374266361400,0,7.732807e-06
3421429617937779200,0,8.8844945e-06
-1084237028527700224,0,5.901705e-05
29887568121667740,0,7.732807e-06
34374800679925788,0,7.732807e-06
6172854600017822720,0,1.0855424e-05
4396131505869592576,0,8.1230355e-06
676003531457763072,0,1.0141629e-05
-139668757366580384,0,7.732807e-06
148507722567540832,0,7.732807e-06
-46047316678336088,0,9.793788e-06
506859045737710976,1,0.99999845
7776294363437173760,0,1.0141629e-05
7575300963177148,0,7.732807e-06
20379146237996936,0,7.732807e-06
-17756148636107548,0,1.0141629e-05
-142145635568274656,0,7.732807e-06
1518864478717578,0,1.41371165e-05
-2434158172839031,0,2.828752e-05
2292661737608130304,0,0.0017015322
4609220585248124,0,1.0989188e-05
53509265985725184,0,7.732807e-06
6815825159250,0,7.732807e-06
318443148930225216,0,6.34513e-05
3603594137455977472,0,2.1478938e-06
22844573621668772,0,2.1433887e-05
39875056410462976,0,8.3641936e-07
-5385234090097006592,0,7.732807e-06
-10208973624841620,0,6.2666354e-06
-6442933464424610816,0,9.907419e-06
940210156424165888,0,7.732807e-06
-1607283063593838336,0,7.732807e-06
4664592965519120384,0,7.732807e-06
-129320639770487456,0,1.8517775e-06
-9374643685505526,0,6.2666354e-06
-10130519877941624,0,7.732807e-06
20760657862654468,0,7.732807e-06
-316521379015386176,0,7.732807e-06
589478906274393216,0,1.529502e-06
547647371650695616,1,0.9999987
-3893377522221353472,0,1.0806125e-05
433862988877804992,0,9.338166e-06
78840751803243552,0,7.732807e-06
10296727723299936,0,6.2666354e-06
-251941067156973184,0,7.732807e-06
8742425414285452,0,1.0102641e-05
125316137931867008,1,0.99999714
-34321075426770032,0,4.4573102e-05
484802227406606848,0,7.732807e-06
254285647103887040,0,8.209496e-06
1033994183342137472,0,0.004966042
25405173478398916,0,7.732807e-06
4807681171965751296,0,7.732807e-06
408582066354273152,0,1.6829747e-05
-568453597677835456,0,9.907419e-06
-14612501609966896,0,4.9033692e-06
1112216553598338176,0,6.2666354e-06
-3371268626162815488,1,0.99999917
-553470271339745216,0,1.5585669e-06
-66343185219120256,0,7.732807e-06
34193338441936556,1,0.99999917
-9046482651573419008,0,1.143899e-05
1228348938025766912,1,0.9999579
3145236448672210432,0,7.732807e-06
-583192230969937664,1,0.9999987
-4032413034408742,0,7.732807e-06
-1070586269278665472,0,6.2666354e-06
64824974872886096,0,2.9609805e-06
-2079383783622277632,0,6.2666354e-06
12041605492737564,0,2.0760626e-05
202270724141933888,0,1.6621927e-05
9725086030222160,0,1.25144e-05
2894865913956233216,0,6.2666354e-06
8208352004181908,0,7.732807e-06
-8547723915191043072,0,7.732807e-06
-28514422242424996,0,9.208775e-06
13146900683396296,0,0.03651405
-206024075660828096,0,1.1252426e-05
6720880537409725,0,1.6747105e-06
-7903801655001154,0,7.732807e-06
236736619994149120,0,9.907419e-06
3472156090334152192,0,1.0102641e-05
-3669287616126714,0,3.9203765e-06
-537708771022959296,1,0.99987185
1343867361648173,0,7.732807e-06
-65348190654168008,0,6.2666354e-06
1788153342663173888,1,0.99999106
35392037794791416,0,1.31323795e-05
-3988438998171416576,0,8.611848e-06
-916060393401926144,1,0.9999988
2158522471183983616,0,1.5518083e-06
6287853535804528640,0,1.4176376e-05
2810744562628827136,0,1.4159565e-06
13739658830247962,0,7.732807e-06
6703160890851327,0,1.0106504e-05
103555823102229264,1,0.9999988
248012456151905888,0,1.9191236e-06
68550770060461952,0,7.732807e-06
-9137192113290336,0,7.732807e-06
-496378024759208832,0,2.155721e-05
-3610279940314629120,0,7.732807e-06
4621592453278722048,0,1.1202594e-05
1381208593430340864,1,0.9999993
7961099053814820,0,7.732807e-06
